Benchmark,greentm-stm-norec_th1,greentm-stm-norec_th2,greentm-stm-norec_th3,greentm-stm-norec_th4,greentm-stm-norec_th5,greentm-stm-norec_th6,greentm-stm-norec_th7,greentm-stm-norec_th8,greentm-stm-swisstm_th1,greentm-stm-swisstm_th2,greentm-stm-swisstm_th3,greentm-stm-swisstm_th4,greentm-stm-swisstm_th5,greentm-stm-swisstm_th6,greentm-stm-swisstm_th7,greentm-stm-swisstm_th8,greentm-stm-tinystm_th1,greentm-stm-tinystm_th2,greentm-stm-tinystm_th3,greentm-stm-tinystm_th4,greentm-stm-tinystm_th5,greentm-stm-tinystm_th6,greentm-stm-tinystm_th7,greentm-stm-tinystm_th8,greentm-stm-tl2_th1,greentm-stm-tl2_th2,greentm-stm-tl2_th3,greentm-stm-tl2_th4,greentm-stm-tl2_th5,greentm-stm-tl2_th6,greentm-stm-tl2_th7,greentm-stm-tl2_th8,greentm-htm-sgl-NO_RETRY-budget1_th1,greentm-htm-sgl-NO_RETRY-budget1_th2,greentm-htm-sgl-NO_RETRY-budget1_th3,greentm-htm-sgl-NO_RETRY-budget1_th4,greentm-htm-sgl-NO_RETRY-budget1_th5,greentm-htm-sgl-NO_RETRY-budget1_th6,greentm-htm-sgl-NO_RETRY-budget1_th7,greentm-htm-sgl-NO_RETRY-budget1_th8,greentm-htm-sgl-NO_RETRY-budget2_th1,greentm-htm-sgl-NO_RETRY-budget2_th2,greentm-htm-sgl-NO_RETRY-budget2_th3,greentm-htm-sgl-NO_RETRY-budget2_th4,greentm-htm-sgl-NO_RETRY-budget2_th5,greentm-htm-sgl-NO_RETRY-budget2_th6,greentm-htm-sgl-NO_RETRY-budget2_th7,greentm-htm-sgl-NO_RETRY-budget2_th8,greentm-htm-sgl-NO_RETRY-budget4_th1,greentm-htm-sgl-NO_RETRY-budget4_th2,greentm-htm-sgl-NO_RETRY-budget4_th3,greentm-htm-sgl-NO_RETRY-budget4_th4,greentm-htm-sgl-NO_RETRY-budget4_th5,greentm-htm-sgl-NO_RETRY-budget4_th6,greentm-htm-sgl-NO_RETRY-budget4_th7,greentm-htm-sgl-NO_RETRY-budget4_th8,greentm-htm-sgl-NO_RETRY-budget10_th1,greentm-htm-sgl-NO_RETRY-budget10_th2,greentm-htm-sgl-NO_RETRY-budget10_th3,greentm-htm-sgl-NO_RETRY-budget10_th4,greentm-htm-sgl-NO_RETRY-budget10_th5,greentm-htm-sgl-NO_RETRY-budget10_th6,greentm-htm-sgl-NO_RETRY-budget10_th7,greentm-htm-sgl-NO_RETRY-budget10_th8,greentm-htm-sgl-NO_RETRY-budget20_th1,greentm-htm-sgl-NO_RETRY-budget20_th2,greentm-htm-sgl-NO_RETRY-budget20_th3,greentm-htm-sgl-NO_RETRY-budget20_th4,greentm-htm-sgl-NO_RETRY-budget20_th5,greentm-htm-sgl-NO_RETRY-budget20_th6,greentm-htm-sgl-NO_RETRY-budget20_th7,greentm-htm-sgl-NO_RETRY-budget20_th8,greentm-htm-sgl-LINEAR-budget2_th1,greentm-htm-sgl-LINEAR-budget2_th2,greentm-htm-sgl-LINEAR-budget2_th3,greentm-htm-sgl-LINEAR-budget2_th4,greentm-htm-sgl-LINEAR-budget2_th5,greentm-htm-sgl-LINEAR-budget2_th6,greentm-htm-sgl-LINEAR-budget2_th7,greentm-htm-sgl-LINEAR-budget2_th8,greentm-htm-sgl-LINEAR-budget4_th1,greentm-htm-sgl-LINEAR-budget4_th2,greentm-htm-sgl-LINEAR-budget4_th3,greentm-htm-sgl-LINEAR-budget4_th4,greentm-htm-sgl-LINEAR-budget4_th5,greentm-htm-sgl-LINEAR-budget4_th6,greentm-htm-sgl-LINEAR-budget4_th7,greentm-htm-sgl-LINEAR-budget4_th8,greentm-htm-sgl-LINEAR-budget10_th1,greentm-htm-sgl-LINEAR-budget10_th2,greentm-htm-sgl-LINEAR-budget10_th3,greentm-htm-sgl-LINEAR-budget10_th4,greentm-htm-sgl-LINEAR-budget10_th5,greentm-htm-sgl-LINEAR-budget10_th6,greentm-htm-sgl-LINEAR-budget10_th7,greentm-htm-sgl-LINEAR-budget10_th8,greentm-htm-sgl-LINEAR-budget20_th1,greentm-htm-sgl-LINEAR-budget20_th2,greentm-htm-sgl-LINEAR-budget20_th3,greentm-htm-sgl-LINEAR-budget20_th4,greentm-htm-sgl-LINEAR-budget20_th5,greentm-htm-sgl-LINEAR-budget20_th6,greentm-htm-sgl-LINEAR-budget20_th7,greentm-htm-sgl-LINEAR-budget20_th8,greentm-htm-sgl-HALF-budget2_th1,greentm-htm-sgl-HALF-budget2_th2,greentm-htm-sgl-HALF-budget2_th3,greentm-htm-sgl-HALF-budget2_th4,greentm-htm-sgl-HALF-budget2_th5,greentm-htm-sgl-HALF-budget2_th6,greentm-htm-sgl-HALF-budget2_th7,greentm-htm-sgl-HALF-budget2_th8,greentm-htm-sgl-HALF-budget4_th1,greentm-htm-sgl-HALF-budget4_th2,greentm-htm-sgl-HALF-budget4_th3,greentm-htm-sgl-HALF-budget4_th4,greentm-htm-sgl-HALF-budget4_th5,greentm-htm-sgl-HALF-budget4_th6,greentm-htm-sgl-HALF-budget4_th7,greentm-htm-sgl-HALF-budget4_th8,greentm-htm-sgl-HALF-budget10_th1,greentm-htm-sgl-HALF-budget10_th2,greentm-htm-sgl-HALF-budget10_th3,greentm-htm-sgl-HALF-budget10_th4,greentm-htm-sgl-HALF-budget10_th5,greentm-htm-sgl-HALF-budget10_th6,greentm-htm-sgl-HALF-budget10_th7,greentm-htm-sgl-HALF-budget10_th8,greentm-htm-sgl-HALF-budget20_th1,greentm-htm-sgl-HALF-budget20_th2,greentm-htm-sgl-HALF-budget20_th3,greentm-htm-sgl-HALF-budget20_th4,greentm-htm-sgl-HALF-budget20_th5,greentm-htm-sgl-HALF-budget20_th6,greentm-htm-sgl-HALF-budget20_th7,greentm-htm-sgl-HALF-budget20_th8
genome_g1024_n1048576_s16,625.69135,970.3844,1170.0985,1354.8342,1242.2004,1372.241,1442.3627,1514.0643,677.4978,1031.0405,1273.1149,1422.6794,1345.284,1459.6525,1531.7819,1614.2725,690.89484,1064.098,1300.5247,1452.3613,1331.8815,1407.9473,1497.8606,1556.9054,611.0563,977.8061,1195.5846,1370.7031,1272.3403,1385.101,1480.7632,1542.373,735.29425,1086.5824,1286.2202,1345.6797,725.01324,672.4034,665.15686,657.5145,733.4731,1099.1488,1304.0735,1342.7026,750.875,672.7179,658.35345,654.0392,732.1659,1078.5538,1283.2164,1305.305,725.60156,666.84424,663.99335,647.8186,727.28204,1091.49,1268.9501,1321.4165,726.0653,676.5084,659.20844,647.55316,734.36725,1082.0743,1267.2828,1340.3574,741.4286,670.94635,656.19244,656.92596,730.37195,1086.4825,1274.9147,1379.32,727.37213,670.80396,659.13367,658.21405,738.91754,1091.5609,1310.223,1337.5383,723.2673,676.76373,667.8074,653.3926,730.8853,1091.3296,1302.977,1336.2843,755.89215,679.7523,664.657,657.55383,735.83484,1104.8702,1289.3527,1352.1544,759.56635,673.95917,662.8891,647.67004,731.64246,1098.2339,1305.4279,1323.5312,731.477,670.3406,657.41254,647.8396,720.37775,1073.935,1274.8077,1301.5533,719.21655,677.1283,661.24695,649.60736,725.7741,1095.9077,1307.5184,1288.4628,742.0196,678.8634,663.89124,648.524,725.4871,1079.3197,1271.401,1304.8462,728.7004,666.99884,661.3511,652.03937
genome_g1024_n16777216_s16,578.09875,946.9154,1201.744,1397.4281,1308.0575,1427.3629,1540.985,1629.4508,622.56287,998.20215,1272.1526,1460.6447,1353.3202,1472.8341,1574.451,1651.4684,634.10736,1022.03796,1264.5593,1463.7451,1356.4927,1475.2925,1573.4028,1662.0502,565.9302,930.2409,1184.845,1320.4401,1274.754,1397.5767,1493.7684,1590.6917,673.391,1051.3861,1268.8483,1280.9994,691.5059,632.2933,625.75885,613.3449,672.85254,1057.2434,1276.0481,1293.8555,688.02515,630.4223,614.0101,613.3996,673.1948,1053.2833,1259.8414,1265.4347,688.45264,633.2132,625.63873,616.6134,672.80316,1051.7556,1264.8118,1268.7089,696.6937,624.1644,621.7799,615.2562,671.7326,1051.0477,1274.7491,1260.8003,696.9963,631.6122,624.94763,613.03033,663.3131,1040.3809,1266.3247,1278.7758,688.9373,633.7456,622.64746,616.58563,672.3291,1033.6727,1279.6091,1273.0594,675.1116,633.80817,622.44464,608.47614,673.11816,1046.6394,1261.0347,1264.0204,694.33966,635.5944,625.1825,615.07306,671.95905,1054.2557,1260.1782,1282.7483,700.9255,634.6558,623.59875,614.0664,671.6497,1057.1028,1271.737,1264.0677,687.58075,624.9785,611.37274,612.33435,672.8464,1049.1191,1253.84,1264.0344,699.97296,635.78577,623.6264,614.5089,670.6815,1039.7639,1259.8657,1264.5198,688.83185,633.67786,625.4627,614.81335,672.29156,1050.7102,1254.0194,1249.1876,687.9775,633.61707,624.2148,613.63104
genome_g1024_n16777216_s256,175.12419,289.5544,377.15793,444.49957,433.16675,475.56592,510.9049,538.13684,179.275,299.88022,384.96014,453.0776,441.64008,484.07544,520.48413,551.3558,182.1816,302.75443,380.7804,454.5049,440.4665,482.3525,514.154,548.4285,176.40453,283.10205,380.2989,445.96014,432.11945,476.57043,510.0502,540.90674,131.34877,165.90202,176.3338,181.77676,170.79622,173.82047,171.68729,170.16234,132.99173,166.3723,176.02885,182.07903,170.98598,173.58739,171.60841,169.5795,133.07552,166.24469,177.78163,181.70947,171.82051,174.2282,171.68602,169.92174,132.84724,165.03587,176.36209,181.6558,171.29953,174.02776,171.81679,168.9206,132.94864,166.14113,176.78474,181.65462,170.99458,174.11841,171.77713,170.1647,132.57927,166.76541,175.4951,181.9562,171.08412,173.76753,171.6147,169.36848,131.62114,166.49481,176.89995,181.78601,171.24846,174.03752,171.56346,169.18002,132.68135,166.34015,177.61707,181.89781,171.15065,173.93163,172.06001,170.077,131.50171,166.01051,176.07233,181.92542,171.13303,174.13054,171.70442,169.1832,131.70262,165.40009,176.17957,181.56404,170.91289,173.98643,171.52281,170.03444,132.17319,166.21964,176.46187,182.04924,171.3325,174.02336,171.47432,169.60497,133.98547,166.25105,175.81183,181.82544,171.40744,174.00685,171.7482,169.40947,132.97427,167.05975,177.01947,181.75543,171.16364,174.04561,171.71704,169.93584
genome_g1024_n16777216_s64,389.81403,660.8676,859.2064,1005.87897,926.921,1024.5355,1096.6248,1163.5632,404.85455,681.79553,854.5072,1031.5559,947.68195,1044.3354,1126.786,1197.4932,415.1463,699.73553,866.61584,1031.3821,946.7696,1054.1344,1120.1702,1201.787,385.18536,626.9958,822.0715,992.01685,921.7593,1020.05176,1100.3828,1164.1713,395.03287,622.87134,716.0698,658.31445,413.0912,406.971,400.25238,393.2852,395.07233,634.3636,711.48553,644.8745,412.6048,407.52405,399.41595,395.27087,392.2624,632.4512,725.50934,646.9085,412.09283,406.56464,398.46936,393.98816,393.44687,627.33417,721.85547,663.86646,412.1678,406.68088,399.48526,392.5023,393.32028,629.26526,727.27625,631.7974,409.9301,404.54678,400.4664,394.42264,394.42783,633.30164,697.1858,646.6572,413.76935,405.64325,400.67038,392.96066,392.1767,634.7756,693.1464,668.06213,410.87088,406.3318,399.60413,394.0505,392.08908,636.1895,709.68805,647.5119,413.24118,402.6332,400.05154,393.12317,393.91644,637.1505,723.3596,654.89923,410.58676,406.91812,398.9855,393.98474,391.8085,637.23474,711.71515,656.0113,412.53662,407.35373,399.84912,394.08142,391.77032,632.9495,701.8733,645.4764,410.86707,406.36755,399.50134,393.0811,394.32394,627.6326,710.0478,656.5375,409.86578,407.0214,400.34537,392.86166,394.49896,628.9109,702.0854,660.5641,412.81854,406.2405,398.02603,395.17282
genome_g1024_n268435456_s16,545.80225,949.62366,1218.8722,1413.8304,1325.8124,1451.3242,1552.5312,1645.1838,596.1138,999.92395,1264.3972,1470.6582,1354.0857,1478.364,1583.5796,1672.9944,613.37366,1030.2156,1276.2723,1478.6825,1353.0791,1488.535,1591.2544,1676.839,524.03217,930.39514,1187.8335,1383.8182,1281.3153,1402.2427,1505.069,1603.09,660.7359,1050.3136,1255.1595,1219.3542,696.34753,615.1991,598.6406,593.6086,659.4058,1056.2781,1266.0513,1300.7994,692.95215,614.4054,600.3484,594.8739,662.4538,1055.897,1262.1956,1295.9106,688.1794,613.39874,598.8304,594.78845,662.01154,1057.6931,1257.6951,1291.3597,684.48706,615.39606,596.40265,590.31976,660.881,1055.5828,1261.7963,1284.5688,699.1405,613.239,600.38837,593.3152,661.4056,1056.298,1265.3348,1279.418,692.28937,616.0214,601.6762,589.592,659.86554,1055.4619,1244.0884,1280.2662,692.4353,613.2848,601.024,590.32806,657.28064,1057.155,1264.1606,1290.4779,693.63354,614.917,600.92065,591.6206,654.7373,1056.6923,1265.7057,1274.1709,688.9592,613.1157,599.3422,589.9959,661.0421,1053.672,1261.1971,1249.8702,686.3518,601.5773,600.7984,589.5887,659.80927,1056.8881,1258.0143,1280.4813,686.2376,615.2588,600.75146,593.055,659.53406,1056.9205,1261.3574,1279.7188,692.0327,614.3287,597.97974,589.03894,657.885,1055.019,1258.8198,1272.5714,700.4328,614.5021,599.5511,590.6397
genome_g1024_n268435456_s64,312.0071,616.33075,840.89545,989.10046,907.90546,1005.7603,1081.8586,1151.8254,324.30115,638.8766,852.72906,1005.45135,916.3879,1020.4804,1099.014,1169.9434,337.3289,673.6348,872.7687,1022.8763,932.0522,1029.4275,1106.6865,1180.1692,308.06268,611.68756,825.13995,974.53766,900.9343,997.22656,1076.0369,1148.437,314.2292,576.31104,692.8775,596.34955,343.91827,326.73602,319.15417,313.46274,311.95126,570.822,688.1141,590.0835,346.1555,325.62762,317.99298,313.41434,315.57947,572.4674,695.34766,587.29736,344.30386,327.752,318.1117,313.4723,314.22287,580.06287,670.54425,593.8847,342.52628,312.0275,318.4399,313.14194,310.39194,575.0411,700.8964,569.74286,344.39383,325.35367,317.47086,312.2438,313.94363,579.6597,685.694,601.9722,344.08334,326.4334,318.0698,314.0621,315.0869,578.8336,687.5162,611.10095,344.51785,326.12888,318.6424,313.5122,316.77658,572.2634,699.0876,572.3957,344.35178,326.2035,316.40628,313.64523,314.7764,575.24774,687.3788,604.6671,344.6411,327.53015,318.87317,313.11838,313.28036,576.3388,686.16766,587.4223,343.22955,326.0885,318.0823,312.99338,305.01492,578.86145,674.82104,608.6065,343.88177,327.14108,318.11594,312.9711,314.9441,568.4265,689.61005,602.1676,341.45895,326.24396,317.86526,314.57642,313.7025,578.91705,678.18,594.43536,343.7644,323.0443,318.33832,312.87723
genome_g1024_n4194304_s16,591.21326,953.96814,1212.9071,1382.5906,1310.8751,1416.5887,1494.3218,1596.8208,632.0948,1006.8277,1269.992,1450.9359,1342.8322,1451.6887,1556.6311,1644.6332,650.12317,1036.0447,1269.3766,1452.0295,1349.46,1468.2302,1566.6245,1632.6196,573.9574,940.6844,1190.1893,1368.639,1271.0778,1398.7169,1493.7565,1565.2257,677.3945,1060.7239,1277.939,1277.938,703.31714,642.3698,628.90393,622.7412,687.31146,1064.3569,1273.4058,1311.9012,704.3078,642.0852,630.35095,620.264,688.587,1059.5773,1263.9135,1268.3258,705.01373,643.49176,630.12494,625.12836,681.824,1060.251,1263.3936,1286.9518,703.7227,642.98773,631.7109,618.09827,683.69507,1057.6556,1258.7894,1296.9847,701.5362,639.06885,631.5355,621.92645,680.3406,1055.9102,1287.1852,1273.5442,709.32214,635.72296,631.5311,624.72955,687.42633,1060.3729,1242.7283,1286.0867,705.8634,641.0359,628.38416,625.7092,684.517,1061.1544,1267.036,1293.1123,704.2539,642.48663,630.6131,621.8019,682.7983,1067.0286,1269.7861,1282.4841,707.7571,641.21985,633.7228,620.4589,684.02795,1062.5792,1279.2014,1294.3931,701.82477,641.6799,633.24774,624.27313,683.74115,1026.933,1271.5503,1263.1515,700.0017,642.02783,630.06287,621.59186,682.9143,1067.4447,1273.8341,1306.218,700.6884,642.0696,630.9589,618.9869,683.9666,1056.9962,1271.2812,1269.3728,701.57184,642.5098,631.0258,623.56226
genome_g16384_n1048576_s1024,1280.2045,1623.9285,1842.7379,1967.3838,1866.5311,1861.374,1847.2621,1787.3185,1449.5581,2788.288,3798.7898,4722.568,4827.004,5534.8164,5992.836,6458.3247,1554.4592,2931.308,3815.449,4673.565,4847.5435,5422.9863,5896.9077,6184.92,1333.0524,2218.1401,2853.1255,3298.6262,3261.9194,3584.0166,3883.8362,3949.8923,1614.2914,2339.5168,2881.0215,3101.4248,2497.3948,1839.0892,1789.1039,1774.5765,1616.5717,2340.707,2848.8792,3110.1257,2530.2483,1844.4149,1776.2307,1744.3105,1618.7964,2311.8113,2797.614,3158.9102,2568.117,1817.6119,1768.862,1739.9657,1613.1111,2373.5508,2842.2417,3102.109,2472.9507,1841.8472,1775.0072,1768.0844,1619.1504,2342.8064,2808.8293,3153.9353,2491.38,1849.238,1789.9728,1758.331,1621.9485,2342.8955,2856.585,3125.488,2476.8413,1835.3145,1802.3868,1768.323,1605.2802,2381.9775,2827.7678,3163.4104,2460.003,1820.9963,1766.2328,1750.824,1604.9462,2338.703,2810.24,3115.9456,2488.7512,1838.3945,1763.6946,1752.0692,1600.771,2337.2139,2865.9583,3151.1965,2428.6765,1826.1991,1775.3436,1757.8625,1610.2814,2370.2175,2824.3486,3087.4456,2512.4797,1820.0406,1757.6285,1757.9849,1611.0713,2345.9976,2848.776,3117.8408,2470.496,1824.3556,1768.7832,1749.8228,1612.5637,2371.1807,2822.6484,3166.7314,2567.4788,1841.555,1758.4545,1772.9738,1615.7517,2346.473,2802.424,3093.0994,2485.0007,1831.1329,1766.8835,1764.8802
genome_g16384_n1048576_s16,479.25977,631.0619,701.3529,819.0125,824.1623,830.2005,815.56305,816.61224,457.5282,744.95734,958.2922,1079.4314,1057.8854,1148.884,1201.7056,1241.691,515.4171,787.5019,975.0459,1115.3428,1116.7858,1186.1567,1201.7747,1182.6852,329.66266,518.65765,663.54346,778.0344,781.95636,822.7203,901.3717,938.02606,562.96326,832.10187,953.5533,1007.19476,803.3108,757.1459,747.61005,735.31494,565.864,838.93555,971.6402,1014.0291,803.99036,754.9088,746.3586,732.9535,567.34863,847.0751,961.00574,1006.3191,805.3839,756.5994,745.4826,731.18665,562.15717,846.2107,960.2022,1005.09094,809.3468,750.9582,746.49615,730.4983,560.40356,841.1215,959.83923,1005.87445,801.41815,753.62994,745.95795,731.1746,563.41565,839.85736,963.0309,1019.6623,802.04645,750.9904,745.3207,733.1918,561.9354,845.72095,968.83093,1012.9622,808.94434,754.4584,750.12573,733.7759,562.5988,844.68677,955.22833,997.47046,804.47424,754.36176,743.5644,715.91504,560.959,846.3557,955.1961,1013.9177,802.6492,752.87524,748.0478,718.7616,558.6281,846.04724,963.91724,994.92633,804.07074,749.9264,748.358,734.70435,563.06995,838.2878,963.4937,982.8971,802.0994,749.08057,740.38074,731.14545,562.7068,842.04626,960.5786,1000.9111,802.0367,755.43164,742.76776,728.2931,561.7835,844.036,955.71436,995.61005,799.1674,748.80786,741.82153,737.39526
genome_g16384_n16777216_s256,375.4337,621.0161,793.5164,897.4736,879.93005,915.58466,957.5648,971.2583,378.3465,724.0924,948.1114,1159.8783,1161.3774,1281.1857,1378.8407,1482.4135,397.08896,750.29486,962.3587,1167.0901,1168.1045,1279.1154,1365.2001,1443.059,400.2265,653.54504,841.806,1038.3567,1026.1603,1130.7441,1200.688,1251.3138,306.20734,413.56815,465.49097,498.86282,466.5627,439.9749,434.23,426.92084,306.60553,412.35742,469.52667,500.57233,466.93213,444.11145,435.31955,428.77402,307.8808,412.33673,468.03354,498.996,467.97452,444.11548,434.28796,428.8889,307.50272,413.07004,469.81387,497.131,468.20166,444.42194,434.9462,426.25403,307.36362,412.43268,463.64395,498.42056,467.84967,443.15173,436.13577,427.06656,306.43283,412.97012,471.9884,498.7937,465.55988,444.50992,434.6884,428.94098,304.09964,412.96542,472.9014,496.5219,466.69586,444.6222,434.99185,427.17862,307.75543,413.14972,468.31247,499.0019,467.69604,443.3726,433.79544,426.35614,305.69345,413.79025,470.10724,497.33777,467.58755,441.73517,434.2005,428.89377,306.9664,409.32794,472.15668,498.4496,467.15134,441.8929,435.79083,426.14676,306.30292,412.2513,471.1129,497.96774,466.2337,443.02692,433.67975,428.19543,306.06998,412.0716,469.55725,498.40775,465.93954,443.4758,434.93802,426.6014,307.15668,412.1846,472.1933,496.62463,467.0919,442.6327,435.01514,427.77313
