Benchmark,norec=1th=MCS_LOCKS,norec=2th=MCS_LOCKS,norec=4th=MCS_LOCKS,norec=6th=MCS_LOCKS,norec=8th=MCS_LOCKS,norec=16th=MCS_LOCKS,norec=32th=MCS_LOCKS,norec=48th=MCS_LOCKS,swisstm=1th=MCS_LOCKS,swisstm=2th=MCS_LOCKS,swisstm=4th=MCS_LOCKS,swisstm=6th=MCS_LOCKS,swisstm=8th=MCS_LOCKS,swisstm=16th=MCS_LOCKS,swisstm=32th=MCS_LOCKS,swisstm=48th=MCS_LOCKS,tinystm=1th=MCS_LOCKS,tinystm=2th=MCS_LOCKS,tinystm=4th=MCS_LOCKS,tinystm=6th=MCS_LOCKS,tinystm=8th=MCS_LOCKS,tinystm=16th=MCS_LOCKS,tinystm=32th=MCS_LOCKS,tinystm=48th=MCS_LOCKS,tl2=1th=MCS_LOCKS,tl2=2th=MCS_LOCKS,tl2=4th=MCS_LOCKS,tl2=6th=MCS_LOCKS,tl2=8th=MCS_LOCKS,tl2=16th=MCS_LOCKS,tl2=32th=MCS_LOCKS,tl2=48th=MCS_LOCKS
genome,0.072756434,0.128464082,0.211498407,0.263703692,0.326785745,0.31327202,0.277459624,0.244131923,0.066275491,0.127028018,0.237408506,0.350618719,0.400626901,0.624977735,0.679323828,0.637732326,0.064067438,0.121354938,0.219675886,0.314850259,0.361781673,0.582730208,0.710202052,0.692496318,0.06035517,0.104906058,0.185041538,0.249741393,0.273513325,0.340124023,0.425879324,0.24874737
genome_g1024_n1048576_s16,3.676335429,8.06419096,13.88831021,17.85650512,17.85650512,15.62451173,7.812194836,6.578687683,3.521002782,6.944203326,12.49953127,17.85650512,22.72675621,31.24902347,19.23002961,16.66611113,3.333211116,6.249765634,11.90433675,16.66611113,20.83246531,31.24902347,19.23002961,13.88831021,3.424540255,6.410009871,11.90433675,16.66611113,19.23002961,24.99875006,16.66583337,9.258916336
genome_g1024_n1048576_s256,0.833303473,1.572270185,2.840804175,3.521002782,3.246637295,2.016059933,1.168181993,0.733111494,0.853211745,1.689129271,3.164436794,4.3101962,4.999800008,5.434575859,2.747154635,1.479237424,0.788614924,1.602507604,3.048668951,4.032127996,4.807507404,5.318979182,3.205015208,1.515096421,0.822339342,1.533685877,2.873455877,3.78774966,4.385811024,4.464126281,3.164436794,1.25623564
genome_g1024_n1048576_s64,2.118567763,3.96811225,6.944203326,8.064255992,8.06419096,5.813716884,3.164436794,2.272644631,2.066043135,4.032111738,7.575470626,10.41634116,12.49968751,15.62451173,13.15737537,4.999825006,1.953056338,3.676348944,6.944203326,9.615014807,11.90433675,15.62426761,10.86921079,5.68162449,2.049108945,3.73120406,6.944203326,8.928252562,10.86921079,13.15754849,6.578687683,4.385811024
genome_g1024_n16777216_s16,0.23922598,0.47526823,0.943362408,1.351303873,1.72407848,2.941072668,3.846005923,3.472089608,0.232983361,0.464667605,0.889648055,1.329741259,1.655571578,3.011948399,4.385811024,4.464126281,0.217952152,0.421570231,0.825052556,1.351303873,1.677793232,2.906875342,4.629458168,5.31895089,0.233855111,0.445616912,0.862038497,1.288613297,1.552739576,2.631488923,4.71680314,5.208170578
genome_g1024_n16777216_s256,0.062906684,0.125560612,0.245812341,0.355606131,0.421570231,0.710202052,0.599499178,0.463805543,0.062435368,0.125246093,0.247271177,0.362831932,0.450434624,0.637732326,0.847427464,0.69441985,0.061152437,0.12512071,0.236734074,0.348177171,0.469908471,0.634495624,0.965217425,0.688681045,0.062171393,0.123209049,0.242474501,0.350618719,0.47891023,0.62032546,0.755260198,0.628118609
genome_g1024_n16777216_s64,0.127546514,0.248747432,0.484478989,0.710202557,0.796150453,1.308854268,1.420404105,1.302037559,0.126706114,0.244609779,0.479829411,0.704200556,0.912377126,1.582223404,2.232063141,2.252176165,0.119670261,0.279319778,0.550641084,0.668425517,0.865021223,1.470536334,1.968434189,2.314729084,0.126130778,0.244849349,0.466401378,0.700255593,0.865021223,1.420406123,2.272644631,1.712270128
genome_g1024_n268435456_s16,0.015586455,0.031433565,0.06168052,0.099439598,0.124683864,0.24130424,0.431019248,0.631290813,0.014657077,0.029946227,0.058327369,0.087870335,0.112811875,0.220840204,0.418745564,0.617262232,0.013988647,0.026883655,0.058313764,0.080357152,0.103216803,0.196379508,0.385788776,0.534169201,0.014781006,0.028314775,0.056507947,0.083413793,0.112406104,0.208152458,0.401915045,0.572061762
genome_g1024_n4194304_s16,0.965216493,2.118567763,3.731217981,5.208143453,6.410009871,8.333055565,6.41005096,5.681592209,0.889648055,1.86560551,3.571313779,5.31895089,6.756528496,11.36324898,14.70523359,10.41634116,0.868024662,1.724075508,3.378252835,4.807530516,6.249765634,10.41623266,11.36324898,11.36324898,0.922476036,1.748187567,3.424540255,4.999825006,6.249804694,9.999700009,11.36324898,8.333055565
genome_g1024_n4194304_s256,0.197777769,0.492108547,0.720435662,0.980357556,1.0330205,1.288614958,0.730968504,0.624977735,0.195000879,0.363359154,0.716306723,0.999964001,1.196130756,1.760501391,2.173837432,1.106155534,0.190542027,0.367094258,0.70819022,0.984217095,1.231484629,1.760501391,1.968434189,1.179202175,0.193491563,0.370906812,0.70420006,1.358647656,1.136323607,1.748190623,1.953052523,1.041629776
genome_g1024_n4194304_s64,0.518653637,1.162748785,2.1550981,2.941072668,3.571301025,3.846020715,2.941072668,2.1550981,0.534168916,1.121036017,2.173837432,3.164446807,4.032111738,6.756482845,8.333055565,5.681592209,0.486363818,1.091663728,2.066043135,2.976084187,3.846020715,6.410009871,8.6203924,4.71680314,0.508112008,1.024553423,2.083259551,2.976084187,3.787735313,5.813716884,5.208143453,3.731217981
genome_g16384_n1048576_s1024,0.042149923,0.050158745,0.065978145,0.058381874,0.059777901,0.041797557,0.032751367,0.03334105,0.038746309,0.065067981,0.110713539,0.147226835,0.159331521,0.162966884,0.144670819,0.123209064,0.034377225,0.056648805,0.093384833,0.124435638,0.180499029,0.157227167,0.16180659,0.11368402,0.035249744,0.0511334,0.07800037,0.087226514,0.090151889,0.07498236,0.082505337,0.071754068
genome_g16384_n1048576_s16,0.454529339,0.726718835,0.874095311,0.984217095,0.992029047,0.883361012,0.698299153,0.580025881,0.411169671,0.70420006,0.932802755,1.56244385,0.559264411,1.602507604,0.272916081,0.374799248,0.367633948,0.673830382,1.091663728,1.488044308,1.552739576,1.552739576,1.351302047,1.106155534,0.243656049,0.42733527,0.420153238,0.509147082,0.549430927,0.477994336,0.606774393,0.325933661
genome_g16384_n1048576_s256,0.118367051,0.160353573,0.188957833,0.19999296,0.190832994,0.163073213,0.124933145,0.117311699,0.111553408,0.184223437,0.325086115,0.414579088,0.422282318,0.585459527,0.559264411,0.457859315,0.103516025,0.159534924,0.271729531,0.344815458,0.392450816,0.501990392,0.456188355,0.414579088,0.096224488,0.132551017,0.17605017,0.204743036,0.208499786,0.279945411,0.270553254,0.277459701
genome_g16384_n1048576_s64,0.220840253,0.35918263,0.434767297,0.456188147,0.447211391,0.420860542,0.348662756,0.29903251,0.188388274,0.326785852,0.612723698,0.814303734,0.871049789,1.42852041,1.38116587,1.201881184,0.190252055,0.322986045,0.569455976,0.750724261,1.003980784,1.201881184,1.126086815,0.883361012,0.15973877,0.248007077,0.377630242,0.444824225,0.486364291,0.525191603,0.578683276,0.378774679
genome_g16384_n16777216_s1024,0.013136681,0.021810422,0.03029093,0.033887902,0.040223823,0.034231281,0.035656975,0.030126663,0.012768974,0.023888291,0.042356994,0.053634623,0.052707353,0.064331183,0.084915414,0.082723687,0.012068701,0.022450927,0.037603951,0.044833405,0.076684382,0.061894272,0.081218637,0.082778462,0.012268898,0.021074951,0.034311153,0.041987079,0.060326031,0.047248357,0.061197323,0.061018077
genome_g16384_n16777216_s16,0.129730745,0.247515991,0.402562228,0.538773944,0.606774393,0.661352479,0.599499178,0.560518323,0.122604793,0.219675886,0.437812845,0.593803071,0.700255593,1.068338403,1.231483112,1.268990442,0.117146746,0.221623347,0.405172103,0.537615332,0.724611952,0.95782046,0.957821378,0.968957508,0.098382977,0.177676731,0.243418807,0.338283092,0.372010662,0.458699395,0.531896221,0.293072842
genome_g16384_n16777216_s256,0.036277923,0.062419767,0.095672091,0.129194393,0.115044257,0.125058121,0.116818295,0.097843902,0.036099789,0.064949607,0.115362741,0.153557136,0.165447402,0.22956019,0.34481522,0.278696858,0.034495815,0.061302396,0.107847781,0.141158183,0.152993369,0.212939662,0.286358593,0.265947898,0.034068025,0.056304315,0.091404453,0.105973369,0.115951386,0.15355723,0.228720162,0.211141203
genome_g16384_n16777216_s64,0.071060594,0.129596244,0.2088481,0.250492154,0.267084601,0.326785745,0.279319778,0.254832971,0.065511314,0.12266495,0.239455172,0.346728495,0.418045345,0.657871365,0.871049789,0.755260769,0.063773257,0.122845776,0.221427102,0.378201523,0.35713023,0.565591026,0.681174781,0.702222534,0.059493376,0.109501164,0.184223403,0.242709846,0.280888935,0.328935683,0.507081649,0.270260702
genome_g16384_n4194304_s1024,0.030390361,0.040347178,0.048969853,0.050118508,0.053854182,0.054239774,0.037502417,0.03627792,0.0290755,0.049719799,0.08072042,0.096372844,0.102120564,0.128266367,0.136532583,0.125940127,0.025812199,0.044191471,0.072798817,0.108221267,0.095380066,0.161597384,0.127481458,0.110811673,0.026782852,0.041951861,0.062450945,0.069268814,0.093770128,0.0888068,0.084427949,0.080486525
genome_g16384_n4194304_s16,0.314059304,0.544643027,0.708190721,0.801253802,0.833304168,0.814303071,0.661352479,0.574692496,0.287676817,0.511229148,0.80383009,1.136323607,1.404445069,1.736050832,1.798496457,1.602507604,0.261497044,0.486364054,0.827785789,1.072923384,1.231484629,1.461937008,1.288614958,1.106155534,0.189962857,0.316845637,0.379925641,0.446412827,0.49799036,0.442462214,0.252771641,0.231687802
genome_g16384_n4194304_s256,0.07457968,0.1132206,0.155273958,0.164036156,0.159534847,0.152247925,0.11504423,0.101870858,0.072629606,0.124995547,0.220062577,0.29903251,0.370906674,0.514385035,0.52852251,0.450434421,0.067877027,0.113839295,0.237408449,0.263425827,0.291025671,0.42733527,0.471681204,0.390001607,0.065752522,0.096596248,0.142363953,0.195000879,0.202585969,0.253283825,0.222412014,0.168684926
genome_g16384_n4194304_s64,0.153462969,0.271140117,0.399346988,0.434012331,0.439351868,0.422282318,0.328072365,0.294453671,0.139816044,0.257457316,0.451247451,0.696354099,0.781221925,1.152032589,1.322704083,1.086917534,0.133971682,0.245812341,0.46209098,0.609734534,0.718365517,0.980357556,1.016224016,0.905765104,0.120943948,0.190687363,0.328503564,0.391835711,0.471681426,0.509147082,0.634495624,0.393067855
genome_g4096_n1048576_s1024,0.14228297,0.213303027,0.356112801,0.361258886,0.294800891,0.265665427,0.164251755,0.123148357,0.137508892,0.23922598,0.434767297,0.580025881,0.623419243,0.629700716,0.500984183,0.283115688,0.126449762,0.210430271,0.356620663,0.526297231,0.595216837,0.62186889,0.543459063,0.354597355,0.133399766,0.212758443,0.350618842,0.468148356,0.479829641,0.529642502,0.464667605,0.328935791
genome_g4096_n1048576_s16,2.550929304,4.629458168,7.14260205,7.812255867,7.575470626,5.555339515,3.048668951,2.499912503,2.336366716,4.385811024,8.6203924,10.86909265,13.15754849,15.62426761,11.90433675,8.333055565,2.252171093,3.906112676,7.352670858,9.999700009,11.90433675,13.8885031,11.36324898,7.575470626,2.136674523,3.623057136,6.578730963,8.6203924,9.258916336,10.41623266,5.31895089,3.906097418
genome_g4096_n1048576_s256,0.503000144,0.853212473,1.024553423,1.207685712,1.045987904,0.788614924,0.378201237,0.308630926,0.50199014,0.819643242,1.700619536,2.336366716,2.577226595,2.688078105,2.314734442,1.082212432,0.43326017,0.726718307,1.436730003,1.999928003,2.40375948,2.525163252,2.173837432,1.072923384,0.449624316,0.786135093,1.31574273,1.623318648,1.937916894,2.032450098,1.552741987,0.896025232
genome_g4096_n1048576_s64,1.322704083,2.136674523,2.976084187,3.521002782,3.246637295,2.336366716,1.262581626,0.992028062,1.237579344,2.38086735,4.3101962,5.952168375,7.14260205,8.6203924,7.14260205,3.731217981,1.136323607,2.083259551,3.96811225,5.31895089,6.578687683,8.06419096,6.41005096,3.676335429,1.116032816,2.083259551,3.73120406,4.71680314,5.31895089,5.68162449,4.629458168,2.525163252
genome_g4096_n16777216_s1024,0.017385852,0.033778026,0.060501247,0.075777864,0.079236496,0.095271014,0.091471332,0.079136169,0.017205172,0.034151796,0.063805806,0.097538489,0.088087085,0.114674849,0.159027464,0.187963283,0.01705144,0.033243504,0.062017154,0.080877109,0.128200592,0.216255306,0.1612846,0.195153138,0.017093413,0.033515372,0.062248791,0.079615014,0.084886639,0.110517754,0.148715736,0.133756628
genome_g4096_n16777216_s16,0.206946319,0.428066982,0.912376293,1.268990442,1.366071697,1.984056125,2.066038866,1.937916894,0.195764402,0.401269939,0.762167238,1.111070372,1.358647656,2.358407132,3.472101663,3.787735313,0.191124704,0.35918263,0.710202052,1.024553423,1.302035863,2.232068123,3.472101663,3.96811225,0.196225331,0.385788776,0.735268167,1.041629776,1.268990442,2.066043135,3.424540255,2.808886192
genome_g4096_n16777216_s256,0.055528886,0.109645191,0.197309449,0.271434357,0.326359147,0.328503349,0.296198002,0.245570763,0.054750561,0.110811686,0.213303027,0.319681853,0.40256239,0.544643027,0.65614473,0.541106216,0.053854171,0.105392513,0.203907853,0.297963124,0.372010523,0.679323367,0.755260198,0.548226077,0.054322262,0.108174404,0.205078776,0.292045669,0.365483985,0.50199014,0.672019075,0.511229148
genome_g4096_n16777216_s64,0.111852807,0.223805722,0.494053327,0.686788659,0.714259695,0.915718212,0.892825256,0.781221925,0.110615504,0.215323868,0.421570053,0.614228731,0.80383009,1.404445069,2.100765309,1.908327751,0.106742554,0.209372738,0.401914883,0.582729868,0.750723698,1.366071697,2.100765309,1.937916894,0.108928558,0.214768929,0.487311861,0.599499178,0.673830382,1.295289808,1.86560551,1.655571578
genome_g4096_n268435456_s16,0.013374949,0.027232154,0.059564253,0.0857897,0.103131676,0.188246385,0.349638002,0.462946674,0.012517706,0.02619628,0.051133382,0.076896678,0.097920521,0.174209836,0.348177049,0.520814888,0.01230029,0.023359287,0.046423602,0.072904959,0.08973119,0.119213681,0.253283825,0.477082165,0.0127527,0.025975808,0.048721725,0.072189193,0.093210726,0.119555759,0.314454235,0.468148137
genome_g4096_n4194304_s1024,0.061272332,0.106469808,0.168230906,0.194848859,0.228511102,0.203410172,0.150778712,0.114203344,0.059806488,0.113374649,0.204408102,0.254056004,0.292729592,0.369263128,0.412526618,0.289007067,0.057153889,0.105615179,0.192745633,0.243893754,0.263425827,0.534169201,0.417347465,0.271729457,0.058862988,0.107754789,0.225014502,0.225014502,0.236510002,0.312488868,0.360737477,0.23854114
genome_g4096_n4194304_s16,0.786135711,1.612845996,2.808894082,3.96811225,4.098226288,4.385811024,2.906875342,2.427096101,0.73096797,1.479237424,2.808894082,4.166527782,5.101858607,8.064255992,9.258916336,6.756528496,0.706189254,1.351303873,2.604071727,3.78774966,4.807507404,7.14260205,7.352670858,6.410009871,0.714260205,1.358647656,2.525163252,3.623057136,4.23712655,5.813750683,5.434605393,3.96811225
genome_g4096_n4194304_s256,0.15872454,0.285704164,0.44881712,0.534169201,0.605305625,0.644307064,0.335558534,0.287016191,0.155660727,0.293072842,0.549430927,0.764499108,0.915718212,1.219469068,1.31574273,0.811659324,0.150960828,0.283115688,0.692496318,0.759851282,0.862038497,1.219469068,1.179203566,0.833303473,0.15384071,0.285052638,0.489219318,0.69829964,0.724611952,1.020372763,1.249954689,0.7621684
genome_g4096_n4194304_s64,0.420860542,0.80383009,1.470536334,1.838171093,2.049108945,1.923006659,1.146748223,0.925893348,0.417347465,0.865021223,1.677793232,2.450890286,3.086314971,4.716825388,5.208143453,3.205015208,0.393686838,0.791111076,1.524336799,2.252171093,2.873464133,4.464126281,4.807530516,3.246637295,0.394930826,0.776369788,1.515098716,2.173832706,2.659482518,3.623057136,3.731217981,2.427096101
